Year-Quarter,sp500_price_mutiplier,sp500_relative_dividend
1888-Q1,0.963946869,0
1888-Q2,0.986220472,0.001996008
1888-Q3,1.073852295,0.026022305
1888-Q4,0.955390335,0.015564202
1889-Q1,1.009727626,0
1889-Q2,1.04238921,0.001848429
1889-Q3,1.01663586,0.023636364
1889-Q4,0.967272727,0.015037594
1890-Q1,0.992481203,0
1890-Q2,1.056818182,0.001792115
1890-Q3,0.953405018,0.02443609
1890-Q4,0.864661654,0.017391304
1891-Q1,1.045652174,0
1891-Q2,1.008316008,0.002061856
1891-Q3,1.098969072,0.024390244
1891-Q4,1.015009381,0.014787431
1892-Q1,1.03142329,0.001792115
1892-Q2,0.992831541,0.001805054
1892-Q3,0.989169675,0.025547445
1892-Q4,1.005474453,0.014519056
1893-Q1,0.963702359,0.001883239
1893-Q2,0.868173258,0.004338395
1893-Q3,0.947939262,0.032036613
1893-Q4,1.009153318,0.01814059
1894-Q1,1.022675737,0
1894-Q2,0.962305987,0.002304147
1894-Q3,1.032258065,0.029017857
1894-Q4,0.959821429,0.01627907
1895-Q1,0.974418605,0
1895-Q2,1.121718377,0
1895-Q3,1.025531915,0.026970954
1895-Q4,0.89626556,0.013888889
1896-Q1,1.013888889,0
1896-Q2,0.98630137,0
1896-Q3,0.928240741,0.029925187
1896-Q4,1.052369077,0.014218009
1897-Q1,0.992890995,0
1897-Q2,1.019093079,0
1897-Q3,1.166276347,0.024096386
1897-Q4,0.953815261,0.014736842
1898-Q1,0.978947368,0
1898-Q2,1.088172043,0
1898-Q3,1.039525692,0.024714829
1898-Q4,1.074144487,0.014159292
1899-Q1,1.132743363,0
1899-Q2,0.9484375,0
1899-Q3,1.049423394,0.020408163
1899-Q4,0.945054945,0.019933555
1900-Q1,1.03986711,0
1900-Q2,0.936102236,0.001706485
1900-Q3,0.989761092,0.025862069
1900-Q4,1.184482759,0.021834061
1901-Q1,1.093158661,0
1901-Q2,1.131824234,0.001176471
1901-Q3,0.941176471,0.02
1901-Q4,0.99375,0.018867925
1902-Q1,1.031446541,0
1902-Q2,1.025609756,0.002378121
1902-Q3,1.052318668,0.018079096
1902-Q4,0.90960452,0.01863354
1903-Q1,1.003726708,0.001237624
1903-Q2,0.888613861,0.002785515
1903-Q3,0.901114206,0.026275116
1903-Q4,1.015455951,0.02283105
1904-Q1,0.98630137,0
1904-Q2,1.00462963,0.001536098
1904-Q3,1.124423963,0.021857923
1904-Q4,1.12704918,0.018181818
1905-Q1,1.096969697,0
1905-Q2,0.950276243,0.001162791
1905-Q3,1.073255814,0.018418202
1905-Q4,1.033586132,0.017819706
1906-Q1,1.002096436,0
1906-Q2,0.972803347,0.003225806
1906-Q3,1.078494624,0.017946162
1906-Q4,0.98105683,0.019308943
1907-Q1,0.848577236,0.001197605
1907-Q2,0.938922156,0.005102041
1907-Q3,0.950255102,0.025503356
1907-Q4,0.881879195,0.0304414
1908-Q1,1.0456621,0
1908-Q2,1.112081514,0.003926702
1908-Q3,1.069371728,0.022031824
1908-Q4,1.105263158,0.022148394
1909-Q1,0.987818383,0
1909-Q2,1.098654709,0.004081633
1909-Q3,1.039795918,0.018645731
1909-Q4,1.010794897,0.02038835
1910-Q1,0.966990291,0.001004016
1910-Q2,0.913654618,0.005494505
1910-Q3,0.979120879,0.021324355
1910-Q4,1.015712682,0.024309392
1911-Q1,1.029834254,0.001072961
1911-Q2,1.037553648,0.005170631
1911-Q3,0.896587384,0.021914648
1911-Q4,1.050749712,0.024149286
1912-Q1,1.020856202,0.001075269
1912-Q2,1.030107527,0.006263048
1912-Q3,1.029227557,0.019269777
1912-Q4,0.951318458,0.023454158
1913-Q1,0.938166311,0.001136364
1913-Q2,0.922727273,0.007389163
1913-Q3,1.050492611,0.022274326
1913-Q4,0.942555686,0.027363184
1914-Q1,1.034825871,0
1914-Q2,0.977163462,0.004920049
1914-Q3,0.944649446,0.0234375
1914-Q4,0.95703125,0.027210884
1915-Q1,1.029931973,0
1915-Q2,1.062087186,0.006218905
1915-Q3,1.077114428,0.020785219
1915-Q4,1.094688222,0.021097046
1916-Q1,0.967299578,0.002181025
1916-Q2,1.020719738,0.009615385
1916-Q3,1.034188034,0.021694215
1916-Q4,1.012396694,0.023469388
1917-Q1,0.95,0.005370569
1917-Q2,0.970998926,0.014380531
1917-Q3,0.898230088,0.02955665
1917-Q4,0.837438424,0.038235294
1918-Q1,1.070588235,0.002747253
1918-Q2,1.023351648,0.013422819
1918-Q3,1.012080537,0.027851459
1918-Q4,1.047745358,0.029113924
1919-Q1,1.027848101,0.001231527
1919-Q2,1.134236453,0.009771987
1919-Q3,0.978284473,0.022197558
1919-Q4,0.990011099,0.024663677
1920-Q1,0.971973094,0.001153403
1920-Q2,0.91349481,0.01010101
1920-Q3,0.993686869,0.025412961
1920-Q4,0.865311309,0.030837004
1921-Q1,1.010279001,0
1921-Q2,0.952034884,0.010687023
1921-Q3,1.009160305,0.027231467
1921-Q4,1.105900151,0.027359781
1922-Q1,1.058823529,0.00129199
1922-Q2,1.091731266,0.010650888
1922-Q3,1.072189349,0.020971302
1922-Q4,0.969094923,0.023917995
1923-Q1,1.074031891,0.002120891
1923-Q2,0.884411453,0.010791367
1923-Q3,0.977218225,0.024539877
1923-Q4,1.049079755,0.024561404
1924-Q1,1.01754386,0.003448276
1924-Q2,0.991954023,0.010428737
1924-Q3,1.07184241,0.022702703
1924-Q4,1.098378378,0.020669291
1925-Q1,1.022637795,0.003849856
1925-Q2,1.03946102,0.010185185
1925-Q3,1.065740741,0.019113814
1925-Q4,1.082536924,0.017656501
1926-Q1,0.947833066,0.00508044
1926-Q2,1.025402202,0.011560694
1926-Q3,1.099917424,0.018018018
1926-Q4,1.012762763,0.017790956
1927-Q1,1.028169014,0.005767844
1927-Q2,1.073540014,0.010745467
1927-Q3,1.137676293,0.015348288
1927-Q4,1.030696576,0.01489118
1928-Q1,1.045246277,0.005479452
1928-Q2,1.042191781,0.009463722
1928-Q3,1.113038906,0.013226264
1928-Q4,1.093528578,0.012095032
1929-Q1,1.098488121,0.005112072
1929-Q2,1.028313016,0.008030593
1929-Q3,1.196940727,0.009904153
1929-Q4,0.68370607,0.014485981
1930-Q1,1.118691589,0.005430242
1930-Q2,0.898913952,0.010223048
1930-Q3,0.965613383,0.014918191
1930-Q4,0.74639076,0.019987105
1931-Q1,1.130238556,0.005134056
1931-Q2,0.79121506,0.01297765
1931-Q3,0.852919971,0.022823331
1931-Q4,0.713440406,0.031990521
1932-Q1,0.978672986,0.001210654
1932-Q2,0.57748184,0.020964361
1932-Q3,1.731656184,0.023002421
1932-Q4,0.82566586,0.027859238
1933-Q1,0.913489736,0
1933-Q2,1.667736758,0.007699711
1933-Q3,1.018286814,0.017013233
1933-Q4,0.942344045,0.017051153
1934-Q1,1.077231695,0
1934-Q2,0.925512104,0.009054326
1934-Q3,0.893360161,0.02027027
1934-Q4,1.042792793,0.018358531
1935-Q1,0.908207343,0
1935-Q2,1.20332937,0.007905138
1935-Q3,1.147233202,0.015503876
1935-Q4,1.123169681,0.015337423
1936-Q1,1.139570552,0.002018843
1936-Q2,0.988559892,0.008849558
1936-Q3,1.092579986,0.014953271
1936-Q4,1.062928349,0.018171161
1937-Q1,1.060375147,0.00331675
1937-Q2,0.864566059,0.014066496
1937-Q3,0.918797954,0.011830202
1937-Q4,0.766875435,0.030852995
1938-Q1,0.935571688,0.003879728
1938-Q2,0.990300679,0.017629775
1938-Q3,1.150832517,0.007659574
1938-Q4,1.08,0.014972419
1939-Q1,0.976359338,0.004035513
1939-Q2,0.92251816,0.016622922
1939-Q3,1.117235346,0.009397024
1939-Q4,0.968676586,0.020210186
1940-Q1,0.982215036,0.004938272
1940-Q2,0.795884774,0.021716649
1940-Q3,1.099276112,0.013170273
1940-Q4,0.990592662,0.02374169
1941-Q1,0.944919278,0.007035176
1941-Q2,0.980904523,0.022540984
1941-Q3,1.049180328,0.014648438
1941-Q4,0.85546875,0.029680365
1942-Q1,0.933789954,0.006112469
1942-Q2,1.018337408,0.022809124
1942-Q3,1.042016807,0.012672811
1942-Q4,1.096774194,0.024159664
1943-Q1,1.162815126,0.004516712
1943-Q2,1.093044264,0.015702479
1943-Q3,0.990909091,0.01000834
1943-Q4,0.957464554,0.020905923
1944-Q1,1.054006969,0.004958678
1944-Q2,1.047107438,0.01578532
1944-Q3,0.994475138,0.01031746
1944-Q4,1.03968254,0.018320611
1945-Q1,1.063358779,0.005025126
1945-Q2,1.08327351,0.01325381
1945-Q3,1.049701789,0.008838384
1945-Q4,1.094065657,0.013848817
1946-Q1,1.011540681,0.005134056
1946-Q2,1.059897319,0.010764263
1946-Q3,0.812163617,0.009940358
1946-Q4,1.002650762,0.017184402
1947-Q1,1.001982816,0.006596306
1947-Q2,0.978891821,0.016172507
1947-Q3,1.014824798,0.011952191
1947-Q4,0.998007968,0.020625416
1948-Q1,0.951430472,0.007692308
1948-Q2,1.176223776,0.014268728
1948-Q3,0.936979786,0.012690355
1948-Q4,0.963832487,0.02435813
1949-Q1,0.98156682,0.010731053
1949-Q2,0.936955064,0.020042949
1949-Q3,1.108804581,0.014202711
1949-Q4,1.067785668,0.028415961
1950-Q1,1.048972189,0.010951009
1950-Q2,1.080115274,0.016542156
1950-Q3,1.01814301,0.018343816
1950-Q4,1.035115304,0.030886076
1951-Q1,1.095189873,0.0110957
1951-Q2,0.996301433,0.016241299
1951-Q3,1.089559165,0.013202726
1951-Q4,0.997018739,0.021358394
1952-Q1,1.017086715,0.01049979
1952-Q2,1.023939521,0.015586546
1952-Q3,1.016406891,0.012510089
1952-Q4,1.050847458,0.017665131
1953-Q1,0.998079877,0.009619084
1953-Q2,0.921508272,0.016283925
1953-Q3,0.971607516,0.013321874
1953-Q4,1.067039106,0.019734193
1954-Q1,1.07007652,0.010161837
1954-Q2,1.089951073,0.012776243
1954-Q3,1.085980663,0.010492846
1954-Q4,1.111923688,0.016013726
1955-Q1,1.043751787,0.007945205
1955-Q2,1.089863014,0.009552539
1955-Q3,1.114630468,0.00857014
1955-Q4,1.02322959,0.012783778
1956-Q1,1.046726912,0.008001685
1956-Q2,0.974310381,0.009725524
1956-Q3,1.012318997,0.008966695
1956-Q4,0.99146029,0.010335917
1957-Q1,0.948105082,0.008403361
1957-Q2,1.079945492,0.009463722
1957-Q3,0.924921136,0.010231924
1957-Q4,0.917007731,0.012645673
1958-Q1,1.044135879,0.008311565
1958-Q2,1.062692947,0.009162011
1958-Q3,1.094078212,0.009191176
1958-Q4,1.09252451,0.009908394
1959-Q1,1.049915872,0.006588319
1959-Q2,1.023148148,0.007483467
1959-Q3,0.992864601,0.008238387
1959-Q4,1.035232252,0.009312563
1960-Q1,0.931594988,0.0087241
1960-Q2,1.040712468,0.007684247
1960-Q3,0.957212714,0.008575078
1960-Q4,1.036307243,0.009683099
1961-Q1,1.128873239,0.007330006
1961-Q2,1.023393637,0.006705273
1961-Q3,1.02499238,0.007285162
1961-Q4,1.066607196,0.008502927
1962-Q1,0.979788124,0.00697112
1962-Q2,0.791435482,0.00826892
1962-Q3,1.042602912,0.008793103
1962-Q4,1.08,0.010536398
1963-Q1,1.048371648,0.007766103
1963-Q2,1.067610781,0.007274283
1963-Q3,1.039081443,0.007137955
1963-Q4,1.018119423,0.009842254
1964-Q1,1.062424161,0.007106599
1964-Q2,1.018274112,0.006979063
1964-Q3,1.039506481,0.006953603
1964-Q4,1.006593934,0.009409242
1965-Q1,1.034182944,0.007025222
1965-Q2,0.979385005,0.007290687
1965-Q3,1.051034807,0.007048557
1965-Q4,1.026292235,0.009266325
1966-Q1,0.968930557,0.007538254
1966-Q2,0.968271827,0.007785266
1966-Q3,0.904136649,0.008867755
1966-Q4,1.045238401,0.010205336
1967-Q1,1.09947129,0.007828226
1967-Q2,1.022478193,0.00732801
1967-Q3,1.047905501,0.0074105
1967-Q4,0.994676965,0.008709339
1968-Q1,0.934837356,0.008193961
1968-Q2,1.128072735,0.007064677
1968-Q3,1.007960199,0.007403751
1968-Q4,1.051332675,0.008169014
1969-Q1,0.932394366,0.007653575
1969-Q2,0.998388721,0.007464192
1969-Q3,0.953298366,0.008147286
1969-Q4,0.964024971,0.009658654
1970-Q1,0.972999671,0.008685843
1970-Q2,0.852679075,0.009921947
1970-Q3,1.092472549,0.009445386
1970-Q4,1.090457738,0.009217102
1971-Q1,1.106052193,0.007429719
1971-Q2,1.001204819,0.007420778
1971-Q3,0.996791015,0.007746479
1971-Q4,0.997686117,0.008167793
1972-Q1,1.086013915,0.006870938
1972-Q2,1.002785515,0.006851852
1972-Q3,1.012962963,0.007129799
1972-Q4,1.074040219,0.007489362
1973-Q1,0.956595745,0.006761566
1973-Q2,0.932384342,0.007538168
1973-Q3,1.007633588,0.007859848
1973-Q4,0.897537879,0.010445242
1974-Q1,1.028064993,0.008415435
1974-Q2,0.921490148,0.009466533
1974-Q3,0.758659093,0.013505578
1974-Q4,0.984586025,0.014909796
1975-Q1,1.249142687,0.01062306
1975-Q2,1.102888518,0.009632035
1975-Q3,0.916341991,0.010865714
1975-Q4,1.047596551,0.010935738
1976-Q1,1.139797069,0.008902077
1976-Q2,1.006923838,0.009430255
1976-Q3,1.036345776,0.00957346
1976-Q4,0.992417062,0.011174785
1977-Q1,0.960840497,0.010337972
1977-Q2,0.986978131,0.011380804
1977-Q3,0.969181186,0.011950535
1977-Q4,0.974955835,0.014282669
1978-Q1,0.946706459,0.013172709
1978-Q2,1.099527134,0.012697112
1978-Q3,1.063895146,0.012127045
1978-Q4,0.925024062,0.014462595
1979-Q1,1.041514931,0.012987013
1979-Q2,1.015984016,0.013569322
1979-Q3,1.067846608,0.013167587
1979-Q4,0.992633517,0.01419295
1980-Q1,0.971243043,0.013849093
1980-Q2,1.094555874,0.013263525
1980-Q3,1.103839442,0.012332016
1980-Q4,1.055335968,0.012134831
1981-Q1,0.997752809,0.011786787
1981-Q2,0.993243243,0.012320484
1981-Q3,0.894179894,0.014285714
1981-Q4,1.04649197,0.013974152
1982-Q1,0.894991922,0.014981949
1982-Q2,0.990072202,0.015679125
1982-Q3,1.115770283,0.014133987
1982-Q4,1.138888889,0.012553802
1983-Q1,1.089670014,0.011191573
1983-Q2,1.095457538,0.010516827
1983-Q3,1.004807692,0.010705742
1983-Q4,0.983253589,0.011192214
1984-Q1,0.957420925,0.0113723
1984-Q2,0.972681067,0.012279556
1984-Q3,1.084911822,0.011198073
1984-Q4,0.990367249,0.012097264
1985-Q1,1.090577508,0.010702341
1985-Q2,1.052954292,0.01037586
1985-Q3,0.97458973,0.010646388
1985-Q4,1.126018468,0.00988905
1986-Q1,1.120598167,0.008781748
1986-Q2,1.055962118,0.008316347
1986-Q3,0.971463514,0.008770457
1986-Q4,1.043222828,0.008447305
1987-Q1,1.176588898,0.007179487
1987-Q2,1.03042735,0.007365627
1987-Q3,1.057398806,0.006997176
1987-Q4,0.756197051,0.0093361
1988-Q1,1.102489627,0.008430561
1988-Q2,1.018818216,0.009235316
1988-Q3,0.990025859,0.009179104
1988-Q4,1.031716418,0.009186257
1989-Q1,1.058589512,0.008541168
1989-Q2,1.105910489,0.008835341
1989-Q3,1.072907013,0.008148575
1989-Q4,1.003743162,0.008204246
1990-Q1,0.97091222,0.008184128
1990-Q2,1.064793476,0.008907017
1990-Q3,0.875190766,0.00951143
1990-Q4,1.042294157,0.009490494
1991-Q1,1.132410646,0.007494359
1991-Q2,1.016143763,0.008564858
1991-Q3,1.023553359,0.008083678
1991-Q4,1.003383264,0.007824766
1992-Q1,1.0485187,0.007143559
1992-Q2,1.002233896,0.007935925
1992-Q3,1.02500796,0.007646721
1992-Q4,1.041005544,0.006955284
1993-Q1,1.033330273,0.006686511
1993-Q2,0.995334992,0.007320448
1993-Q3,1.024952015,0.006968034
1993-Q4,1.014611097,0.006631613
1994-Q1,0.995407233,0.006770014
1994-Q2,0.980638624,0.007497307
1994-Q3,1.026669305,0.007045571
1994-Q4,0.974794415,0.007337595
1995-Q1,1.083393748,0.006367231
1995-Q2,1.093683463,0.006674701
1995-Q3,1.073087976,0.006047307
1995-Q4,1.061855314,0.005776397
1996-Q1,1.052882503,0.005331726
1996-Q2,1.033118519,0.005639491
1996-Q3,1.009543755,0.005763988
1996-Q4,1.101306899,0.005099226
1997-Q1,1.065805584,0.00455716
1997-Q2,1.106203292,0.004416346
1997-Q3,1.069303541,0.004332885
1997-Q4,1.027053852,0.00410445
1998-Q1,1.118935545,0.00349173
1998-Q2,1.029308247,0.003771236
1998-Q3,0.920831115,0.004173852
1998-Q4,1.165984088,0.003361203
1999-Q1,1.076979959,0.003128755
1999-Q2,1.031903937,0.003160561
1999-Q3,0.996688216,0.003375892
1999-Q4,1.083835924,0.002834785
2000-Q1,1.00947028,0.002828992
2000-Q2,1.013694261,0.002818135
2000-Q3,1.004165641,0.002786009
2000-Q4,0.906597187,0.00299039
2001-Q1,0.890993516,0.003187587
2001-Q2,1.044575621,0.003099999
2001-Q3,0.843328947,0.003963088
2001-Q4,1.096004365,0.003476195
2002-Q1,1.007738464,0.003267492
2002-Q2,0.878860105,0.004092621
2002-Q3,0.855811522,0.004494071
2002-Q4,1.036148466,0.00473765
2003-Q1,0.941557864,0.004630122
2003-Q2,1.166979672,0.004139676
2003-Q3,1.031821862,0.004237621
2003-Q4,1.060032959,0.00468241
2004-Q1,1.040105863,0.004057012
2004-Q2,1.007811527,0.004113846
2004-Q3,0.986669727,0.004366265
2004-Q4,1.072964945,0.004444593
2005-Q1,0.996405967,0.004468993
2005-Q2,1.006151142,0.004458307
2005-Q3,1.019688085,0.004429327
2005-Q4,1.029488058,0.004817482
2006-Q1,1.025093695,0.004568151
2006-Q2,0.968641304,0.004803818
2006-Q3,1.051525332,0.004621549
2006-Q4,1.074885789,0.004850256
2007-Q1,0.99331413,0.004634138
2007-Q2,1.076221614,0.004418204
2007-Q3,0.988726646,0.004608849
2007-Q4,0.988043711,0.005151364
2008-Q1,0.890293533,0.005383692
2008-Q2,1.018459459,0.005293569
2008-Q3,0.907325256,0.005784954
2008-Q4,0.721114261,0.008147591
2009-Q1,0.862767218,0.007871832
2009-Q2,1.22319813,0.005873969
2009-Q3,1.127877597,0.005121823
2009-Q4,1.063022354,0.005097354
2010-Q1,1.036969326,0.00474193
2010-Q2,0.940882207,0.005150642
2010-Q3,1.035740659,0.005044204
2010-Q4,1.106454085,0.00485691
2011-Q1,1.050711622,0.004722152
2011-Q2,0.986814771,0.005041599
2011-Q3,0.911900193,0.005537193
2011-Q4,1.059154258,0.005855291
2012-Q1,1.117363189,0.00510351
2012-Q2,0.952664766,0.005629099
2012-Q3,1.090624717,0.005383049
2012-Q4,0.985361156,0.006278607
